sentiment,time,tweet
Negative,Fri May 22 01:43:00 PDT 2009,@lillethomas �sh tyst mere  hah
Positive,Fri Jun 05 21:26:17 PDT 2009,Old conversations; they're fun to go through 
Negative,Sun May 17 23:24:40 PDT 2009,my mouth feels numb. too much candy i guess. 
Negative,Tue Jun 02 22:58:36 PDT 2009,@AlexAllTimeLow not fairrrr 
Positive,Sun May 10 00:36:22 PDT 2009,@ Ember with Dante... I have so much fun with him  can I smile any harder...
Negative,Wed Jun 17 20:21:31 PDT 2009,"i missed the cocktail party, right? "
Positive,Fri May 29 19:04:02 PDT 2009,@blkbeautifulme u are so cute  do you mean party via twitter?? me too! heehee
Negative,Thu Jun 25 09:10:06 PDT 2009,@Steph_JW Wow...that's not cool.  To be known as &quot;unknown&quot; 
Positive,Fri May 22 00:54:25 PDT 2009,@ChateauTanunda hahaha. profoundly funny. and true! 
Positive,Thu May 28 20:52:22 PDT 2009,@DaKingOfPorn Be a good boy...and bring me back a somethin nice 
Positive,Tue Jun 02 07:04:27 PDT 2009,Laying down keys at the studio today.  
Negative,Sat Jun 20 00:52:01 PDT 2009,@mcsc2008 In 7 hours you can miss alot. I'm going to miss out on the party nonetheless  Such is life.
Positive,Tue Apr 07 03:13:48 PDT 2009,@NashPCH ah ok.  happy to helps 
Negative,Fri May 22 03:02:43 PDT 2009,where is my cookie?? its missing!!! huhuhu. 
Positive,Mon Jun 01 11:26:04 PDT 2009,"@Liz_66 No problem; and I just realised, I still have to grope you! Or did I at the party? Oh well. May I grope you when I see you next? "
Negative,Fri Jun 19 13:19:52 PDT 2009,@TycoonTom  poor guy ! didn't find anything yet  ?
Positive,Mon Jun 01 22:55:59 PDT 2009,im going to the movies by myself tomorrow 
Negative,Mon Jun 01 23:51:30 PDT 2009,Didnt buy my ball dress in the weekend  saw so many pretty dresses but why are they so expensive im only gonna be wearing it once!!
Positive,Sat May 16 20:54:53 PDT 2009,"Watching TV, going to bed soon... "
Positive,Sat May 30 23:25:51 PDT 2009,"another rainy day. sweet! Haha, just got back from the dentist.  teeth hurts a little bit �"
Negative,Thu Jun 18 07:13:27 PDT 2009,@ETown_Melly I know   I wish U and @crappinsunshine were going too!!!!!!
Positive,Sun Jun 14 22:25:48 PDT 2009,"@jinx4life oh snap awkward moments? well... atleast those are better, than awkward touching moments. "
Positive,Sun May 31 08:45:21 PDT 2009,@BreeOlson9 just voted...best of luck babe! 
Positive,Mon May 18 07:28:31 PDT 2009,@indianaadams There's a lot of things that I don't get 
Negative,Wed Jun 17 16:16:22 PDT 2009,@cmlp  it's everyone.. 
Positive,Fri Jun 05 09:38:12 PDT 2009,@musicjones might have to roll up to Bmore then! 
Negative,Sat Jun 06 06:39:46 PDT 2009,@allynrawr That's so wrong 
Positive,Thu Jun 04 09:49:54 PDT 2009,@rebeccao372 Well I'm here.  all is well now.  ;)
Negative,Mon Jun 15 16:45:14 PDT 2009,"@mankyroo I live near Toronto, Canada , pretty far from McFly  lol"
Positive,Tue Jun 02 13:13:04 PDT 2009,-- Pussycat Doll Melody Thornton on Rap-Up TV http://bit.ly/urzhN   MEL MEL MEL  HIHIHI
Negative,Sat Jun 20 22:49:44 PDT 2009,jus got off....  tired than a bihhhhhh!
Positive,Mon Jun 01 05:24:11 PDT 2009,Had spicy nasi ayam. 'twas finger-licking good. 
Positive,Mon Jun 01 21:39:09 PDT 2009,Also this is a question for my ladies. what is the ultimate sign that you are in love and that that person loves you too? Good night 
Positive,Mon Jun 15 19:40:22 PDT 2009,"Working late tomorrow.  Sleep in a bit, gym in the morning, then a nice jog down the Charles. "
Negative,Thu Jun 25 08:42:44 PDT 2009,"@SallyHBewsey Oops, @littlemisscupcake's Twitter page is gone "
Positive,Sun May 17 06:17:18 PDT 2009,@exotkprncss hi 
Negative,Thu Jun 25 03:46:31 PDT 2009,Fire in the shit chip shop next door. Brilliant. Standing outside in case it spreads 
Positive,Sun May 31 11:54:00 PDT 2009,@TheCeleste One learns from the other... Its not you... It's kid influence. Good luck 
Negative,Tue Jun 16 14:48:43 PDT 2009,#squarespace I'm risking a sick day to post this... I need a phone for me and my girlfriend 
Positive,Fri Jun 05 16:55:17 PDT 2009,@maykobe24 I agree with what you said about my client! He WORKed hard and LOOKS amazing! I very very proud of him!  thank u 4 the support!
Positive,Sun May 31 19:35:24 PDT 2009,@davidryanmusic mine wasnt so good...really bad..but anyways how was yours?? im sure you had  fun 
Positive,Wed Jun 03 02:58:56 PDT 2009,I'm watching &quot;UP&quot; with my sister. 
Positive,Wed Jun 03 04:15:52 PDT 2009,"pony back in yesterday evening, so i should be heading to the yard to go see him  first time back in the saddle in like a month =O!"
Negative,Thu Jun 18 23:53:36 PDT 2009,@textzicke oh neee   #quak
Negative,Sat Jun 06 08:21:50 PDT 2009,"after the power came on last night I finally fell asleep, but had the most frightening nightmares. I was probably screaming in my sleep "
Positive,Mon May 18 05:03:02 PDT 2009,i'm eating snacks and drinking orange juice  yumm!
Positive,Mon Jun 01 13:01:43 PDT 2009,@katieanncurtis http://twitpic.com/6f47f - I like this one the best. 
Negative,Fri Jun 05 08:34:32 PDT 2009, there was no storm
Negative,Sun Jun 07 11:04:06 PDT 2009,@ktoint83 ok im sorry i'll shut up! 
Negative,Tue Jun 16 09:24:26 PDT 2009,Not a bad day today. Still no #AdobeCS4 upgrade though 
Negative,Mon Jun 01 04:54:54 PDT 2009,@valkyrievsc me too!!! I woke up at 11pm when Neil came to bed and wanted to chat and didn't get back to bed until 2am.  
Negative,Thu Jun 25 07:03:15 PDT 2009,@khaled_7 i think she's part trini...which can save us at least a very little part of the embarrassment. 
Positive,Fri Jun 05 16:59:21 PDT 2009,@Abbie_xD indeed. it was like akwtjwkl WHOA. there. but over all it was an amazing read 
Positive,Mon Jun 15 06:51:22 PDT 2009,@ejly Great to hear! Thanks for the feedback 
Positive,Sun May 03 19:41:32 PDT 2009,@LuKeWarWiCk: come on msn.. 
Negative,Sun May 17 08:22:42 PDT 2009,Well for now super glue will just have to work. my glasses place isnt opened on sunday nor are any others in bg 
Negative,Mon Jun 15 05:42:34 PDT 2009,To think in two months im back in school 
Negative,Tue Jun 02 16:23:33 PDT 2009,Article about victims on the Air France Flight  http://bit.ly/10dO5P
Negative,Tue Apr 07 07:53:07 PDT 2009,"@kirsty_lee My battery life is about two hours; if I'm doing internets or have 2+ programs open, it'll die even faster! "
Negative,Tue Jun 23 12:32:05 PDT 2009,"packing for glastonbury, which is turning into more clothes for rain than sun  Does it always rain at Glastonbury"
Positive,Mon Jun 15 23:26:18 PDT 2009,"@ExMi I guess when you're pissdrunk anything will taste like chicken, wine will taste like water &amp; any girl will look like Cindy Crawford "
Negative,Sat Jun 20 15:38:22 PDT 2009,why can't my dreams become reality? totally stuck in a rut. 
Negative,Thu Jun 18 12:46:53 PDT 2009,omg.        hannah montana finishes in 2010! like omg nooooo! ends on season 4 
Negative,Mon Jun 01 08:02:38 PDT 2009,http://twitpic.com/6ejl0 - is missing rome 
Positive,Sun Jun 07 16:38:18 PDT 2009,@simply_brie @shayla_boo awww i love u guys 
Negative,Tue Jun 02 02:51:26 PDT 2009,is actually going to play today..even if it involves paying off the card 
Positive,Tue Jun 02 23:27:07 PDT 2009,@Diva_LadyAngel  will be the next world's superstar *Winks* amazing features i would think
Positive,Sun Jun 07 16:02:41 PDT 2009,@kailamac haha! Yup! And we are going swimming! 
Negative,Sun Jun 14 22:46:29 PDT 2009,*Sigh* The Macbook just flashed me its 'warning low battery' message. Soon I shall be gone. For 3-5 days until new cord arrives. 
Positive,Fri May 29 20:27:37 PDT 2009,About to party it up! 
Positive,Mon Jun 15 14:04:42 PDT 2009,@yellowblues Get 100 followers a day using www.tweeterfollow.com Once you add everyone you are on the train or pay vip 
Negative,Sun Jun 07 11:41:30 PDT 2009,trying to play team fortress 2 on my mac via vmfusion is not the greatest idea in the world. i need a new macbook 
Positive,Sun May 31 01:43:39 PDT 2009,"uiiii,norderney ist sooo toll "
Negative,Thu Jun 18 10:21:04 PDT 2009,I am getting my Texas state mandated vehicle inspection 
Positive,Sun May 10 01:22:29 PDT 2009,"Fantastic weekend - hairdressers, stylish luncheons &amp; a Fabulous girlie night with wine, cheeses &amp; chocolates...And dancing till morning "
Negative,Tue Jun 16 17:47:06 PDT 2009,Damn it...I want tickets to go see Britney...Wish I had friends with connections 
Positive,Sat May 30 00:06:54 PDT 2009,@ladyspeaker yes! you gave me a ff shout out right next to Evil Slut Clique. my dreams have now come true  seriously thank u for ff.
Negative,Sat May 09 22:20:26 PDT 2009,SO SAD that I wasn't able to buy the Audrey Kawasaki print &quot;My Dishonest Heart&quot; this morning 
Positive,Fri May 29 00:35:52 PDT 2009,@patriciaco ... You're rally so mean. 
Negative,Sat May 30 21:07:58 PDT 2009,@Cari_tx i'm sure its been very tough 
Positive,Sun May 17 21:10:04 PDT 2009,@anhhung turn to @mintran and @ducban for usability. I extend your and @mintran's point on the theories I am embracing  #webcamp
Negative,Sat May 02 08:52:48 PDT 2009,annie_silly same silly.. thats y i got tissues and a wet patch on me hoodie. -holds out hand for a free hug- Free hugs anyonre ? 
Negative,Thu Jun 18 23:31:19 PDT 2009,loving the new safari ... and feeling like im going to be sick 
Positive,Fri Jun 05 21:18:29 PDT 2009,girl talk again with my diary. she's really my diary &amp; her pages never end lol. im so silly. listening to drake i love his slow songs. 
Positive,Mon Jun 01 11:56:54 PDT 2009,I love when parents get what I'm doing- had a parent come in today and express gratitude for a local mission trip. made my day 
Positive,Sun May 31 12:14:19 PDT 2009,"@seventeenmag i love your new issue, and your picture and your backgroundddd  i love 17 magazine now"
Positive,Sat Jun 06 07:05:27 PDT 2009,@Destini41 Have fun on your trip! Cant wait to hear about it 
Negative,Tue Apr 07 03:31:33 PDT 2009,*yawn* time to get ready for school 
Negative,Sun May 03 22:00:33 PDT 2009,Where did my glasses go?? 
Negative,Sun May 31 01:27:12 PDT 2009,ok... I had def. On of the worst nightmares I ever had 
Positive,Sat May 02 10:13:08 PDT 2009,"@Chef_Jay By only knowing &quot;bad&quot; French, I think it depends on the type of girl you're dating. LOL "
Positive,Mon Jun 15 04:18:21 PDT 2009,@stephsmith No problem. 
Negative,Sat May 30 00:28:32 PDT 2009,"Should I im brian, or shouldn't I? God so indecisive. His SO hates me. "
Negative,Sun Jun 07 16:56:33 PDT 2009,@mexecution Mi padre needs to learn to BBQ because I starving too. 
Negative,Sat Jun 20 12:00:05 PDT 2009,@MakeupAddict88 girl I didn't get it 
Positive,Sun Jun 07 09:09:06 PDT 2009,@paulaparanoia you should spend the night with me tonight 
Positive,Sat Jun 06 21:02:53 PDT 2009,"@iLuPJA Yes, everything worked out fine! "
Positive,Fri May 29 13:14:07 PDT 2009,ahhh ashley advertising 
Positive,Mon Jun 01 16:01:27 PDT 2009,"@Kaipz Feels like they have Wii envy. It would be cool for some games, but I like RPGs. No good there "
Positive,Fri May 29 15:56:30 PDT 2009,Tried the tiger strips with hot pink fuuuuuun   http://twitpic.com/67s1k
Positive,Mon May 18 02:38:03 PDT 2009,"@ParamountPics really enjoyed ST at IMAX, but why do so many TV directors shoot MCU/CU?!  More wide shots of fantastic INT sets needed "
Negative,Sat Jun 06 22:31:49 PDT 2009,Zzzzz sleepy. Had a fun gig in Mahopac. But the whole building across road is having a block party LOUD! 
Negative,Sun May 31 16:51:12 PDT 2009,@alignment fuuu what? 
Positive,Sun Apr 19 05:23:56 PDT 2009,"@DonnieWahlberg If you ain't run by money, how 'bout throwing some of yours my way? "
Positive,Sun Apr 19 11:00:33 PDT 2009,it's very very very very VERY dramatic red. eilidh is pleased 
Positive,Sun Jun 07 09:39:13 PDT 2009,@tommcfly aww ! can i be your bridesmaid ! That would make me very happy 
Negative,Sun Jun 07 20:27:30 PDT 2009,"Feeling good but, I wanna get out of here "
Negative,Fri Jun 05 23:19:57 PDT 2009,@lessthanbetter BOOOOOOOO that's what i say when i mean SOMEONE ISN'T TALKING TO ME!!!   
Negative,Tue Jun 16 21:31:39 PDT 2009,my virus scan has been at the same percentage for about 20 minutes now  
Positive,Sat Jun 06 13:35:03 PDT 2009,Going to my cousin's house. The babies are there  i miss them&lt;3
Negative,Sun May 17 03:46:19 PDT 2009,"Party was ace. Had a gd time, thinkin o movin to america wen im older, there isnt uch to do around ths place!!!!  Want to move"
Negative,Sat Jun 20 00:49:09 PDT 2009,another 72min has gone by on megavideo 
Negative,Sun Jun 21 09:44:22 PDT 2009,"@Chiron1 Yeah, I've noticed the same thing. "
Negative,Fri May 22 04:13:03 PDT 2009,last.fm won't scrobble my dad's mix 
Negative,Thu Jun 18 18:57:59 PDT 2009,"@NADMEVENTS women are jus nit pick, neeeeeeever happy, soo sad smh   soo glad im a guy!!!!!!"
Positive,Mon May 18 06:12:26 PDT 2009,"we have a 4 Gigs Laptop , so don't worry "
Positive,Sat May 02 03:41:24 PDT 2009,"@StaciJShelton we'll talk another time, I am grateful for your support &amp; want to find out more about you and your work.. "
Negative,Thu Jun 25 04:53:29 PDT 2009,behind my desk doing homework 
Positive,Mon Jun 15 13:40:00 PDT 2009,@WaveyDavey001 Hope you enjoyed it. I like this #musicmonday idea. Thanks for the plug 
Positive,Sun Jun 07 16:08:55 PDT 2009,@JustBeingMolly http://bit.ly/4i69Vt  Nick having fun! 
Negative,Mon Apr 20 07:44:00 PDT 2009,Want to eat sandwich. Sadly no place nearby which sells sandwiches 
Positive,Mon Apr 20 23:40:26 PDT 2009,@chelsea_playboy awww i love you 
Positive,Sat May 30 20:21:10 PDT 2009,@stupid_things so dont 
Positive,Sat Jun 06 21:55:15 PDT 2009,@simplyjess400 LMAO WHAT!!! NEVER EVER! WHAT GOT YOU TRIPPIN!  YOU MISS ME DONT YOU?  XOX
Negative,Sat Jun 20 23:09:10 PDT 2009,"Studying, its so hard to focus with rpattz dancing around naked in my pitiful girlish mind. "
Positive,Mon Jun 01 15:11:13 PDT 2009,Next week im in France! Yeah! 
Negative,Sat Jun 20 08:57:42 PDT 2009,@plymouth_pc Apple have good reasons to not support flash on the iPhone 
Negative,Mon Jun 15 11:09:15 PDT 2009,good news = TONS of new people signing up for my virtual cocktail party thursday. bad news= my site just went down. 
Negative,Fri Jun 19 13:29:43 PDT 2009,"Strap broke on my skates. Looks like I'll need new ones after like, 6 years. Bye bye, skates "
Negative,Sun May 31 03:45:14 PDT 2009,Headaches 
Negative,Fri May 29 19:04:06 PDT 2009,@j2klive all I wana do is sleep! Can't any1 get any sleep around here?! 
Negative,Sat May 23 18:05:51 PDT 2009,Only one of my kids like sardines and tabasco sauce on Ritz crackers with cheese. 
Negative,Sun Apr 19 11:35:11 PDT 2009,@Anthello I had ice cream for breakfast last sunday.  It's not as good of an idea as it sounds  
Negative,Thu Jun 18 04:31:38 PDT 2009,Can't believe i missed Mackie crack Kris 
Negative,Tue Jun 23 12:11:34 PDT 2009,okay from now no more Coke before bed! went to sleep at 4am woke up at noon 
Negative,Sun May 31 07:30:41 PDT 2009,The Cleveland curse continues 
Positive,Sat Jun 06 03:30:19 PDT 2009,"@tedmayhem...more, or just spend time time mulling it over. Lots of people must do the same. That's cool "
Positive,Sun Jun 07 18:11:37 PDT 2009,@Street3 hello darlin 
Positive,Thu May 28 21:38:37 PDT 2009,going to Greenhills with my mom later for some shopping 
Negative,Sun May 31 23:07:54 PDT 2009,Of course it starts thunderstorming when the boys go for a beer run 
Negative,Sat Jun 20 07:59:28 PDT 2009,"So tired,wanna sleepyyyy...i want to forget sb in my mine although it realy hard but i have no choice. "
Positive,Wed Jun 03 04:17:41 PDT 2009,@shiasharos1 tweeter para japeiks!!!!! hahahahha!!! bawal ang poser sa twitter wag ganun!!!! 
Negative,Thu May 14 09:00:37 PDT 2009,@rachelnixon Fleetwood Mac may be cancelled tonight? Did you know? 
Positive,Tue Apr 21 00:15:59 PDT 2009,had forgotten how lovely the centre of Bath is first thing on a spring morning 
Negative,Mon Jun 01 16:45:09 PDT 2009," i didnt go shopping, but i am going to burbank again!"
Positive,Sun Jun 07 07:33:55 PDT 2009,"@emilytan That was sweet of your boss.  All the best for your exams, dear! xoxo"
Negative,Fri May 29 23:27:41 PDT 2009,#myweakness the only weakness I had I dumped 
Positive,Wed Jun 03 05:24:24 PDT 2009,Robin williams on svu 
Positive,Fri May 29 23:20:26 PDT 2009,"@iamjuice u know u stole tht from me, stop frontin, u can't crush DAYLE's cool "
Positive,Fri May 29 00:55:29 PDT 2009,"@girl__friday not sure about time, but doing so in the County of Offaly. "
Positive,Fri May 01 23:46:34 PDT 2009,just got lots of new songs   FLAME THROWER -- Chris Brown 
Negative,Sat Jun 06 09:47:01 PDT 2009,Just woke up. Ugh I overslept. 
Negative,Mon May 18 06:22:20 PDT 2009,Feel the pain 
Positive,Sat May 16 21:34:54 PDT 2009,"hopefully, mum is too lazy to cook dinner. So we can have KFC. "
Positive,Sun Jun 07 03:07:50 PDT 2009,"@McFlyingGirl Yes, on Tuesday  x"
Negative,Sun Apr 19 05:04:13 PDT 2009,@fourtonmantis frank gave me nightmares 
Positive,Mon Jun 01 22:31:58 PDT 2009,Entering hour 3 @ the gym woooo feeling great  come join me.
Negative,Fri Jun 05 15:57:40 PDT 2009,I want my new telly now 
Negative,Sat Jun 20 05:28:18 PDT 2009,"At home, bored, it's raining again.The Good old British summer "
Positive,Mon May 11 21:48:35 PDT 2009,"Finished registering for sw. today was fun in design. lots'olaughs w/Katrina, Jackie, Sandra&amp;Angelo &quot;HOT DAMN!&quot; Finishing drawing project "
Negative,Thu Jun 18 14:07:54 PDT 2009," still kinda sick,,, working from my bed is not helping..."
Positive,Sun May 31 02:21:32 PDT 2009,talking to my huney bunny!!!  :@ :
Positive,Sun May 10 05:58:11 PDT 2009,our song - taylor swift. my current lss. taylor's sooo awesome! 
Negative,Tue Jun 02 07:13:52 PDT 2009,just waking up. didnt sleep very well last nt 
Negative,Fri Jun 19 04:44:53 PDT 2009,@vanessa_samson she's mad at us.. 
Negative,Wed Jun 17 23:59:05 PDT 2009,I WANT TO CRY 
Negative,Fri Jun 19 11:14:39 PDT 2009,Just erased all songs on my iPhone!! 
Positive,Sat Jun 06 10:01:54 PDT 2009,@Ivysmith I always do... But it still makes me feel loved  &lt;3/:: Lexz
Positive,Sat May 02 00:01:32 PDT 2009,"@Erinkyan I love surprises!  Aw, thanks, but srs, I don't mind reimbusing you the whole amount, 50 was kinda a ballpark figure. "
Negative,Sat Jun 06 03:54:44 PDT 2009,Mariahdaily... 
Positive,Sun Jun 14 22:31:40 PDT 2009,Just got home from a night with BDB YBF and @BlueSurrfer....happy we're on the same page and everything's wavy...love you 
Positive,Wed Jun 03 04:38:09 PDT 2009,"is dropping his car off for some work, then working from home . . . at least it's supposed to be nice, today "
Negative,Sat Jun 20 08:45:15 PDT 2009,@ashleigh_dancer said they were talking about NFY on the radio today &amp; played it.  wish it was TCBL &lt;3 xo
Negative,Sun Jun 07 04:32:29 PDT 2009,I CANT SLEEP 
Negative,Sat Jun 20 01:16:34 PDT 2009,Pleased to see @stephenfry correctly and appropriately notes the lack of Flash player on the iPhone. http://is.gd/179z1 - it IS a pity 
Positive,Sun Jun 07 19:18:33 PDT 2009,WWDC  new iphoneeeeeeeeeeeeee &lt;3
Negative,Mon Jun 01 19:06:17 PDT 2009,"having a very healthy breakie. . banana and yogurt. Where is the toast, eggs and ham! "
Positive,Sat Jun 06 17:59:28 PDT 2009,movies with my best friends  _
Positive,Sat May 30 03:19:01 PDT 2009,just got home from a long trip! my butt hurts.. ive been sitting for about 2 hours which leaves an aching a-... glad to be back home! 
Negative,Sat May 02 00:28:20 PDT 2009,period paaaaain 
Positive,Sun May 31 16:56:18 PDT 2009,@HelsBelsUK i will ask peeps to add from myspace 
Positive,Mon Jun 15 08:20:36 PDT 2009,"@bryanks nope, I haven't had time. And I have the premium that was $4, so don't call me dummy, asshat! "
Positive,Sun May 17 01:25:14 PDT 2009,@Melny_Tweets Thx for coming 
Positive,Mon Jun 15 09:42:12 PDT 2009,@kellyzebra1031 hey girl thanks for the add 
Negative,Fri Jun 19 23:14:23 PDT 2009,@mattpro13 im reallly bored... and you never say hi to me 
Negative,Fri Jun 19 16:40:19 PDT 2009,@tommcfly ps: dont blay me for being a stupid brazilian girl 
Negative,Sat Jun 06 06:41:27 PDT 2009,@MikesHempShop awww no love from the ATM 
Positive,Tue Jun 16 04:19:48 PDT 2009,@nonsequitir &quot;sharks with frickin laser beams&quot; ... love it 
Negative,Thu Jun 18 06:26:33 PDT 2009,@ladebelle so I jinxed myself n my shit doesn't update. It crashed the wireless so I Gotta try again sunday  whack!
Positive,Sat May 02 23:04:16 PDT 2009,So happy to see tonya solise tonight i got to give her the new leash i got for bunny 
Negative,Fri May 29 22:30:10 PDT 2009,@jennyGPA i don't know!!  he was saying it doesn't make sense forhim to drive me if i don't know that I'll get in...but i told him i would
Negative,Sun May 31 07:21:42 PDT 2009,Stomach ache  At work  
Positive,Sat May 30 00:49:06 PDT 2009,is shit faced  yay transitions!!!!
Positive,Sat May 02 06:07:21 PDT 2009,@IATV It's funny to see that the 2004's tablet-pc buzz was rapidly replaced by fingertip IxD in those prospective videos 
Negative,Fri Jun 19 09:36:11 PDT 2009,@49diamond I miss you way more than you can imagine 
Negative,Tue Jun 02 17:56:36 PDT 2009,"Effing Kill Screen, man! #wiebe "
Negative,Fri May 29 11:15:49 PDT 2009,@hatcherdogg Would love it but have plans 
Positive,Sat May 09 19:36:16 PDT 2009,@LiveInLove10 YES!!! haahaaa.! break out the jellybeaniesss! 
Negative,Fri Jun 19 23:16:24 PDT 2009,"@nobodylkl Just a really bad week in general, so I'm going home at the end of next week to calm down hopefully "
Positive,Sat Jun 06 21:00:46 PDT 2009,well you know how i said i was making home made ice cream well ya i did and it was supper yummy 
Positive,Mon Jun 01 16:31:40 PDT 2009,Munchkin at It's A Grind at 8:30! Aw... yeah.   Cool people only.
Negative,Sun Jun 07 16:16:00 PDT 2009,Car accident...smh nothing serious just sprain my pinky 
Positive,Sun Apr 19 05:19:21 PDT 2009,@tiaralynn I made an interview with a website owner who my visitors choosed and posted it on my site 
Positive,Sat May 30 00:28:45 PDT 2009,@finenoises yes sir  new skillet song in the mix
Positive,Fri Jun 05 12:38:17 PDT 2009,Sometimes I wanna choke the hell outta him.... and times like this i cant do anything but smile 
Negative,Fri Jun 19 15:35:47 PDT 2009,"whatever I say or think; I'll love you forever and ever, and the jb too; it's only i'm dissapointed "
Negative,Fri Jun 19 03:26:28 PDT 2009,"Anyone need a campervan ticket for #glasto ? Reasonable offers please, no use to me otherwise due to being let down "
Negative,Fri Jun 19 02:42:20 PDT 2009,#fridayFAIL being killed to death by the stench of the evil office mop *bleh* 
Positive,Sun May 17 01:25:28 PDT 2009,@cheridennis damn she cute! Dm me her link since u tooking! Lol hey ! How old is baby sis 21? 
Negative,Fri Jun 05 13:04:06 PDT 2009,I was going the opposite direction of jack in the box  all that wait for nothing! At wendys... Somewhere in TN...
Negative,Mon Jun 01 03:38:49 PDT 2009,Midnight is sleeping with mommy and loving it! James left again though.  Kristin... http://apps.facebook.com/catbook/profile/view/6183818
Negative,Sun May 31 08:33:07 PDT 2009,Mmm. Geting woke up by Chloe is always fun. 
Positive,Fri May 22 06:33:11 PDT 2009,"I finished writing my blog late last night. I need to read over it and then I'll post it to my blog.  Title: Charm, But Not Charming."
Positive,Mon Jun 01 17:58:14 PDT 2009,"@frashy besides they are talented and have a great attitude.. Its more important, at least in my part. "
Positive,Tue Jun 02 20:11:17 PDT 2009,Please help and I'll love you forever?  It's my very first Digg!  http://bit.ly/Ly114
Positive,Mon Apr 20 03:44:05 PDT 2009,@stretchneil hey Neil thanks for following  Still up to your eyes with worky stuff?
Positive,Sat May 09 23:41:41 PDT 2009,@yansie02 not yet. im still loading it.  have you?
Negative,Sun May 17 03:53:42 PDT 2009,"normal day, revising on my birthday, maths exam on wednesday  "
Negative,Thu Jun 25 04:10:10 PDT 2009,It is so fucking cold. Bring on Singapore 
Positive,Sat Jun 06 17:13:30 PDT 2009,Finished editing most of my next video.....I love it....will upload it next week! 
Positive,Tue Jun 02 03:35:50 PDT 2009,@frak That indeed sounds like a strange dream you had!  You ok today? 
Negative,Wed Jun 17 20:34:03 PDT 2009,@toastedgrrl 
Positive,Sat May 30 16:46:25 PDT 2009,"@_Enigma__ Yeah, melting in a good way....gotta make room for the new information "
Positive,Fri May 22 02:59:44 PDT 2009,This is so funny: http://FunnyOrDie.com/videos/5d5afcd5d7 - you don't mess with a MTV Movie Awards Best Fight Nominee 
Positive,Mon Jun 15 17:47:20 PDT 2009,@CalistaFoxBooks  Glad our insanity is keeping you entertained! 
Positive,Mon Jun 15 19:32:42 PDT 2009,"@rezzz No, but just got followed by soccermom now.  "
Positive,Mon Jun 15 03:52:13 PDT 2009,"@lifealicious well, topics about society are always debatable! There's no one correct way of life. "
Positive,Mon Jun 01 07:22:32 PDT 2009,Bed Time. leaving for Brissyland in....... 8hours 
Positive,Fri May 29 17:59:31 PDT 2009,"Playing our last NZ show tonight at Mighty Mighty, last chance to hate/love/experience "
Positive,Sat Jun 06 21:16:54 PDT 2009,"@Spacemonk1 Haha, yes. I love that movie! "
