"ID","Gender","Race","Age_at_Release","Residence_PUMA","Gang_Affiliated","Supervision_Risk_Score_First","Supervision_Level_First","Education_Level","Dependents","Prison_Offense","Prison_Years","Prior_Arrest_Episodes_Felony","Prior_Arrest_Episodes_Misd","Prior_Arrest_Episodes_Violent","Prior_Arrest_Episodes_Property","Prior_Arrest_Episodes_Drug","Prior_Arrest_Episodes_PPViolationCharges","Prior_Arrest_Episodes_DVCharges","Prior_Arrest_Episodes_GunCharges","Prior_Conviction_Episodes_Felony","Prior_Conviction_Episodes_Misd","Prior_Conviction_Episodes_Viol","Prior_Conviction_Episodes_Prop","Prior_Conviction_Episodes_Drug","Prior_Conviction_Episodes_PPViolationCharges","Prior_Conviction_Episodes_DomesticViolenceCharges","Prior_Conviction_Episodes_GunCharges","Prior_Revocations_Parole","Prior_Revocations_Probation","Condition_MH_SA","Condition_Cog_Ed","Condition_Other","Violations_ElectronicMonitoring","Violations_Instruction","Violations_FailToReport","Violations_MoveWithoutPermission","Delinquency_Reports","Program_Attendances","Program_UnexcusedAbsences","Residence_Changes","Avg_Days_per_DrugTest","DrugTests_THC_Positive","DrugTests_Cocaine_Positive","DrugTests_Meth_Positive","DrugTests_Other_Positive","Percent_Days_Employed","Jobs_Per_Year","Employment_Exempt","Recidivism_Within_3years","Recidivism_Arrest_Year1","Recidivism_Arrest_Year2","Recidivism_Arrest_Year3","Training_Sample"
47,"M","WHITE","38-42",12,0,4,"Standard","High School Diploma",2,"Drug","Less than 1 year",4,6,0,2,3,4,0,0,2,4,0,1,2,1,0,0,0,0,1,0,0,0,0,0,0,4,6,0,0,16.86,0.059999999,0,0.039999999,0.039999999,0.985765125,0.433274021,0,0,0,0,0,1
48,"M","WHITE","38-42",4,0,3,"Specialized","High School Diploma",1,"Violent/Sex","1-2 years",3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,10,0,0,97.8,0,0,0,0,1,1.493865031,0,0,0,0,0,1
50,"M","BLACK","38-42",17,0,9,"Specialized","Less than HS diploma",0,"Drug","Greater than 2 to 3 years",7,6,1,3,3,0,0,0,3,1,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,3,50.31578947,0,0,0,0,1,2.292364017,0,0,0,0,0,1
51,"F","WHITE","43-47",9,NA,7,"High","At least some college",0,"Property","1-2 years",10,6,0,5,5,5,0,1,3,4,0,3,2,1,0,0,0,0,1,1,0,0,1,0,0,4,10,0,3,33.84848485,0,0,0.030303031,0,0.064458371,0.326991943,0,0,0,0,0,1
53,"M","WHITE","18-22",21,0,8,"Specialized","At least some college",3,"Other","1-2 years",6,3,1,1,1,4,1,0,3,2,1,1,1,1,1,0,0,0,1,1,0,0,1,1,1,4,10,2,3,15.87878788,0.060606062,0,0.030303031,0.030303031,0.286259542,2.091125954,1,1,0,1,0,1
54,"M","BLACK","48 or older",3,0,5,"Standard","Less than HS diploma",3,"Drug","Less than 1 year",10,6,2,5,5,5,0,0,3,4,0,3,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,1
55,"M","BLACK","38-42",3,0,5,"Specialized","High School Diploma",3,"Property","1-2 years",8,6,0,5,1,5,0,0,3,4,0,3,1,1,0,0,0,0,0,0,1,0,0,0,0,0,10,1,0,36.89655172,0,0,0,0,0.945794393,0.34135514,0,0,0,0,0,1
57,"M","BLACK","38-42",3,0,NA,"High","High School Diploma",0,"Violent/Sex","1-2 years",10,6,2,0,2,5,0,0,3,3,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,4,10,3,0,57.1875,0,0,0,0,1,0.798360656,0,1,0,0,1,1
58,"M","BLACK","38-42",6,0,5,"Standard","At least some college",0,"Violent/Non-Sex","Greater than 2 to 3 years",10,6,3,5,1,5,1,0,1,4,1,1,0,1,1,0,0,0,0,1,1,0,0,0,0,4,0,0,2,115.7142857,0.142857149,0,0,0,0,0,0,1,0,0,1,0
60,"M","WHITE","43-47",3,0,6,"High","Less than HS diploma",3,NA,"1-2 years",6,6,0,0,5,3,0,1,3,4,0,0,2,1,0,0,1,0,1,0,0,0,0,0,0,0,10,1,0,12.21621622,0,0,0.081081077,0,0,0,0,1,0,1,0,0
61,"M","BLACK","33-37",5,0,9,"Specialized","Less than HS diploma",1,"Property","Greater than 2 to 3 years",7,5,1,2,5,3,0,0,2,4,0,1,2,0,0,0,0,0,1,1,0,0,1,0,0,0,10,3,0,78,0.210526317,0,0,0,0.220647773,0.24645749,0,0,0,0,0,1
62,"F","WHITE","48 or older",3,NA,3,NA,"Less than HS diploma",0,"Property","Less than 1 year",10,5,0,5,0,5,0,0,3,4,0,3,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,13.53846154,0,0,0,0,0,0,0,0,0,0,0,1
63,"M","BLACK","43-47",5,0,3,"Standard","High School Diploma",2,"Property","Less than 1 year",10,6,2,5,5,5,0,0,2,4,0,2,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,3,0,135.6666667,0,0,0,0,0.314496314,0.897420147,0,0,0,0,0,0
64,"F","WHITE","43-47",6,NA,7,"Standard","High School Diploma",2,"Other","Greater than 2 to 3 years",10,6,3,5,1,5,1,0,2,2,0,2,1,1,0,1,0,1,1,1,0,0,0,0,0,0,1,0,1,33.2,0,0,0.050000001,0.100000001,0.954819277,0.550075301,0,0,0,0,0,1
67,"M","BLACK","28-32",20,0,7,"High","Less than HS diploma",3,"Drug","1-2 years",4,5,0,2,1,2,1,0,2,4,1,2,0,1,0,0,0,0,1,1,0,0,0,0,0,2,0,0,3,89.77777778,0,0,0,0,1,1.808168317,0,0,0,0,0,0
68,"M","BLACK","33-37",3,0,NA,"Standard","High School Diploma",2,"Drug","Less than 1 year",10,6,1,5,1,5,0,0,2,4,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,NA,NA,NA,NA,NA,0,0,1,0,0,0,0,1
69,"M","BLACK","33-37",3,0,6,"High","High School Diploma",3,NA,"More than 3 years",10,6,3,3,4,5,0,0,1,4,0,1,2,1,0,0,0,0,0,0,1,0,1,0,1,4,10,3,3,344.8571429,0.571428597,0,0,0,0.186412593,0.453914664,0,0,0,0,0,1
70,"F","WHITE","48 or older",25,NA,3,"Standard","Less than HS diploma",0,NA,"1-2 years",7,5,0,4,1,3,0,0,3,4,0,3,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,3,78.28571429,0,0,0,0,0.708029197,0.999771898,0,1,0,0,1,1
71,"M","WHITE","38-42",12,0,NA,NA,"High School Diploma",2,"Violent/Non-Sex","Less than 1 year",8,6,2,1,4,5,0,1,2,4,0,1,0,1,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,41,0,0,0,0,1,1,0,0,0,0,0,1
72,"M","WHITE","33-37",14,0,8,"Specialized","Less than HS diploma",0,"Other","Greater than 2 to 3 years",10,6,1,5,0,5,0,1,2,3,0,2,0,1,0,0,0,1,0,0,1,0,1,0,1,4,10,0,1,68.66666667,0,0,0,0,0.964805825,0.221632282,0,0,0,0,0,0
73,"M","BLACK","33-37",6,0,10,"Standard","Less than HS diploma",3,"Property","1-2 years",8,1,0,5,1,1,0,0,3,0,0,3,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,120.6,0,0,0,0,0,0,1,0,0,0,0,1
76,"M","WHITE","43-47",6,0,10,"Specialized","At least some college",3,NA,"More than 3 years",10,6,0,5,1,4,0,0,3,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,1,34.15789474,0,0.052631579,0.052631579,0,0.25577812,0.562788906,0,0,0,0,0,1
77,"F","WHITE","43-47",9,NA,9,"Specialized","High School Diploma",2,"Property","1-2 years",10,3,1,5,5,3,0,0,3,2,0,3,2,0,0,0,0,0,1,1,0,0,0,1,0,2,10,0,0,95.75,0,0,0,0,0.381201044,0.953655352,0,1,0,1,0,1
78,"M","BLACK","33-37",5,0,9,"Specialized","Less than HS diploma",1,"Property","More than 3 years",8,5,1,2,4,5,0,0,3,4,0,2,2,1,0,0,1,0,1,0,0,0,0,0,1,3,10,3,0,55.54545455,0.121212125,0,0,0,0.605564648,0.597790507,0,0,0,0,0,1
80,"M","BLACK","33-37",12,0,5,"Standard","High School Diploma",2,"Property","1-2 years",6,4,1,2,2,1,0,0,1,2,0,1,1,1,0,0,0,0,1,1,1,0,0,0,1,0,1,0,1,33.47368421,0,0,0,0,0.878930818,0.574292453,0,0,0,0,0,1
84,"M","BLACK","38-42",3,0,7,"High","High School Diploma",0,"Drug","Greater than 2 to 3 years",10,2,2,2,5,5,0,1,2,2,1,1,2,1,0,0,0,0,1,0,0,0,0,0,0,0,4,0,1,69.3,0,0,0,0,0.227994228,0.527056277,0,0,0,0,0,1
86,"M","WHITE","43-47",14,0,6,"High","High School Diploma",0,"Drug","1-2 years",9,6,1,3,3,5,0,0,2,4,0,2,1,1,0,0,0,0,1,1,0,0,0,0,0,0,10,0,0,37.25,0,0,0,0,1,1.634228188,0,1,0,0,1,1
87,"M","WHITE","28-32",14,0,5,"Standard","High School Diploma",0,"Drug","Less than 1 year",7,6,1,4,2,1,0,0,2,4,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,132.3333333,0,0,0,0,1,0.920025189,0,0,0,0,0,0
88,"F","BLACK","33-37",3,NA,7,"High","High School Diploma",2,"Violent/Non-Sex","More than 3 years",10,6,2,5,1,5,0,0,3,2,1,3,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,2,185.5,0,0,0,0,0.859838275,0.984501348,0,1,0,1,0,1
89,"M","BLACK","33-37",4,0,6,"High","High School Diploma",1,"Drug","1-2 years",10,6,2,5,2,5,1,0,3,4,0,2,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,372.75,0,0,0,0,0.071763917,0.244969819,0,1,0,1,0,0
90,"M","BLACK","43-47",3,0,1,"High","High School Diploma",3,"Drug","1-2 years",7,6,3,0,4,4,0,1,1,1,0,0,2,1,0,1,0,0,1,1,0,0,0,0,0,0,6,3,0,33.04545455,0.045454547,0,0,0,0.894085282,1.004814305,0,0,0,0,0,1
91,"M","WHITE","33-37",4,0,9,"Standard","High School Diploma",1,"Property","1-2 years",8,5,0,5,2,3,0,0,2,2,0,3,0,0,0,0,0,1,1,1,0,0,0,0,0,0,6,0,1,33.15,0,0,0,0,0.876319759,0.550904977,0,0,0,0,0,1
92,"M","BLACK","38-42",3,0,5,"Standard","Less than HS diploma",2,"Drug","Less than 1 year",10,6,2,1,1,5,0,1,0,3,1,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,25.6,0,0,0,0,0.2890625,0.951171875,0,1,0,0,1,1
93,"M","WHITE","33-37",16,0,4,"Standard","High School Diploma",2,"Other","Less than 1 year",6,2,1,1,0,2,0,1,1,1,0,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,10,0,0,34.2,0.06666667,0,0,0,0.651072125,1.423976608,0,1,0,0,1,1
95,"M","BLACK","33-37",6,0,6,"High","Less than HS diploma",0,NA,"1-2 years",10,1,2,1,5,1,0,0,3,0,1,0,2,0,0,0,0,0,1,1,0,0,0,0,0,0,6,0,1,45.85714286,0.071428575,0,0,0,1,0.568925234,0,1,0,0,1,1
97,"F","WHITE","28-32",4,NA,10,"Specialized","Less than HS diploma",1,"Property","Greater than 2 to 3 years",10,6,0,4,2,5,0,0,2,3,0,3,2,1,0,0,0,1,1,1,0,0,0,0,1,4,10,0,0,30.6,0.100000001,0.200000003,0,0.100000001,0.173202614,2,0,0,0,0,0,1
99,"M","WHITE","48 or older",5,0,6,"High","High School Diploma",3,"Property","Greater than 2 to 3 years",10,6,0,5,0,3,0,0,2,4,0,3,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,1
100,"M","WHITE","48 or older",11,0,6,"Specialized","High School Diploma",1,"Drug","More than 3 years",10,6,2,0,5,5,0,1,3,4,0,0,2,1,0,0,0,0,1,0,0,0,0,0,0,3,5,0,1,43.57142857,0,0,0,0,0,0,0,0,0,0,0,1
101,"F","BLACK","33-37",12,NA,5,"Standard","At least some college",0,"Property","Less than 1 year",4,2,0,3,0,3,0,0,2,1,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38.4,0,0,0,0,1,0.951171875,0,0,0,0,0,1
102,"M","WHITE","48 or older",17,0,3,"Standard","High School Diploma",2,"Drug","Less than 1 year",9,5,1,4,5,2,0,0,3,3,0,3,2,0,0,0,0,0,1,0,0,0,0,0,0,0,6,0,1,23.73333333,0,0,0,0,1,1,0,1,0,1,0,0
103,"M","WHITE","38-42",16,0,4,"Standard","Less than HS diploma",3,NA,"Less than 1 year",5,2,3,0,3,1,1,0,3,1,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,NA,NA,NA,NA,NA,0,0,0,1,0,0,1,0
104,"M","BLACK","33-37",6,0,8,"High","High School Diploma",2,"Violent/Non-Sex","Greater than 2 to 3 years",7,6,2,3,0,5,0,0,1,2,1,1,0,1,0,0,0,0,0,1,1,0,1,1,0,0,0,0,1,164.2,0.100000001,0,0,0,0.974421437,0.444884287,0,0,0,0,0,1
105,"F","BLACK","43-47",11,NA,6,"High","Less than HS diploma",3,"Property","Less than 1 year",10,6,2,5,2,2,0,0,3,2,1,3,2,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,23,0,0.5,0,0,0.673913043,1,1,1,0,1,0,0
106,"M","WHITE","43-47",17,0,2,"Standard","High School Diploma",3,"Property","Less than 1 year",10,6,1,5,1,5,0,0,3,4,0,3,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,95.33333333,0,0,0,0,1,1,0,1,0,1,0,0
107,"F","WHITE","38-42",16,NA,8,"Standard","Less than HS diploma",0,"Drug","Less than 1 year",10,6,2,4,3,5,0,0,3,4,0,3,2,1,0,0,0,0,1,0,0,0,0,0,0,2,4,2,1,24.73333333,0,0,0,0,0,0,0,0,0,0,0,0
108,"M","BLACK","48 or older",6,0,4,"Standard","High School Diploma",3,NA,"1-2 years",3,1,0,0,4,0,0,0,2,1,1,0,2,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,1,117,0,0,0,0,0,0,0,0,0,0,0,1
109,"F","WHITE","43-47",16,NA,10,"Specialized","Less than HS diploma",1,"Property","Greater than 2 to 3 years",10,6,1,5,2,5,0,0,3,4,0,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,142.4285714,0,0,0.142857149,0,0.459378134,0.366349047,1,1,0,1,0,1
111,"M","WHITE","33-37",17,0,6,"High","High School Diploma",1,NA,"1-2 years",10,6,2,1,5,5,0,0,3,4,1,0,2,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,3,64.2,0,0,0.06666667,0,0.473520249,0.379283489,0,1,0,1,0,1
112,"M","BLACK","38-42",21,0,10,"Specialized","At least some college",0,"Property","1-2 years",10,1,0,5,0,1,0,0,3,1,0,3,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,0,0,0,1,0,0,1,1
114,"M","BLACK","43-47",5,0,3,NA,"High School Diploma",1,"Drug","Greater than 2 to 3 years",10,6,0,1,5,5,0,0,3,4,0,0,2,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,115.375,0,0,0,0,0.275189599,0.791440953,0,0,0,0,0,1
115,"M","WHITE","38-42",12,1,8,"High","Less than HS diploma",0,"Property","Less than 1 year",10,5,3,5,0,5,0,0,3,2,1,3,0,1,0,0,0,1,1,1,0,0,1,1,1,4,0,0,2,NA,NA,NA,NA,NA,0,0,0,1,0,0,1,1
116,"M","WHITE","48 or older",16,0,8,NA,"Less than HS diploma",3,NA,"Less than 1 year",10,6,3,5,1,5,1,0,3,4,0,3,0,1,0,0,0,0,1,0,0,0,0,0,0,0,10,0,2,19.66666667,0,0,0,0,1,2,0,0,0,0,0,1
118,"M","WHITE","48 or older",2,0,2,"Standard","Less than HS diploma",3,"Drug","1-2 years",4,6,2,0,2,5,0,1,3,4,1,0,2,1,1,1,1,0,1,1,0,0,0,0,0,0,4,0,1,50.73333333,0,0,0.033333335,0,0.484888305,0.239980289,0,1,0,0,1,0
119,"M","BLACK","48 or older",16,0,1,"Standard","Less than HS diploma",0,"Drug","Less than 1 year",9,6,3,3,3,5,0,0,2,4,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,0.318376068,0.780448718,1,0,0,0,0,1
121,"M","BLACK","38-42",5,0,NA,NA,"At least some college",3,"Violent/Non-Sex","Greater than 2 to 3 years",9,6,2,5,1,5,1,1,3,4,1,3,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,14.375,0,0,0,0,0.617391304,1,0,0,0,0,0,1
122,"M","BLACK","33-37",3,0,5,NA,"High School Diploma",3,NA,"1-2 years",5,6,0,2,4,5,0,0,2,4,0,1,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,0.815384615,0.624358974,0,0,0,0,0,1
123,"M","BLACK","28-32",5,0,9,"Specialized","Less than HS diploma",3,"Violent/Non-Sex","Greater than 2 to 3 years",10,6,3,4,3,5,1,1,1,4,0,2,1,1,1,0,0,1,1,1,1,1,1,0,0,0,0,0,1,74.83333333,0,0,0,0,0.665924276,1.626948775,0,1,0,1,0,0
